product_internal_id,product_sku,product_name,product_media_main_image_url,product_category_1,product_category_2,product_category_3,product_category_4,product_category_5,product_category_6,url
727855125,4874,Bose Smart Soundbar,https://d2j6dbq0eux0bg.cloudfront.net/images/16593703/4779701274.webp,Bose Home Theater / Bose Soundbars,,,,,,https://usavshop.com/products/Bose-Smart-Soundbar-p727855125
374941012,874,"Bose Smart Soundbar 300 Bluetooth Connectivity with Alexa Voice Control Built-In, Black",https://d2j6dbq0eux0bg.cloudfront.net/images/16593703/2400624098.jpg,Bose Soundbars,Bose Home Theater / Bose Soundbars,Bose Smart Speakers,Bose Soundbars / Soundbars,,,https://usavshop.com/products/Bose-Smart-Soundbar-300-Bluetooth-Connectivity-with-Alexa-Voice-Control-Built-In-Black-p374941012
535551789,1814,"Bose Smart Soundbar 300 with Bass Module 500 for Soundbar, Black",https://d2j6dbq0eux0bg.cloudfront.net/images/16593703/3491633725.jpg,Bose Soundbars,Bose Home Theater / Bose Soundbars,Bose Wireless Speakers,Bose Smart Speakers,,,https://usavshop.com/products/Bose-Smart-Soundbar-300-with-Bass-Module-500-for-Soundbar-Black-p535551789
543459549,1847,"Bose Smart Soundbar 600 Dolby Atmos with Alexa Built-in, Bluetooth connectivity, Black",https://d2j6dbq0eux0bg.cloudfront.net/images/16593703/3536741578.jpg,Bose Soundbars,Bose Home Theater / Bose Soundbars,Bose Smart Speakers,,,,https://usavshop.com/products/Bose-Smart-Soundbar-600-Dolby-Atmos-with-Alexa-Built-in-Bluetooth-connectivity-Black-p543459549
374557961,871,"Bose Smart Soundbar 700: Premium Bluetooth Soundbar with Alexa Voice Control Built-in, Black",https://d2j6dbq0eux0bg.cloudfront.net/images/16593703/2399317629.jpg,Bose Soundbars,Bose Home Theater / Bose Soundbars,Bose Smart Speakers,Bose Soundbars / Soundbars,,,https://usavshop.com/products/Bose-Smart-Soundbar-700-Premium-Bluetooth-Soundbar-with-Alexa-Voice-Control-Built-in-Black-p374557961
560055584,01639-B,"Bose Smart Soundbar 900 Dolby Atmos with Alexa Built-In, Bluetooth connectivity - Black",https://d2j6dbq0eux0bg.cloudfront.net/images/16593703/3643947082.jpg,Bose Home Theater,Bose Home Theater / Bose Soundbars,Bose Smart Speakers,Bose Soundbars / Soundbars,,,https://usavshop.com/products/Bose-Smart-Soundbar-900-Dolby-Atmos-with-Alexa-Built-In-Bluetooth-connectivity-Black-p560055584
560056574,1938,"Bose Smart Soundbar 900 Dolby Atmos with Alexa Built-in, Bluetooth connectivity - Black & Surround Speakers, Black",https://d2j6dbq0eux0bg.cloudfront.net/images/16593703/3643990752.jpg,Bose Home Theater,Bose Home Theater / Bose Soundbars,Bose Smart Speakers,,,,https://usavshop.com/products/Bose-Smart-Soundbar-900-Dolby-Atmos-with-Alexa-Built-in-Bluetooth-connectivity-Black-&-Surround-Speakers-Black-p560056574
491917745,01639-W,"Bose Smart Soundbar 900 Dolby Atmos with Alexa Built-in, Bluetooth connectivity - White",https://d2j6dbq0eux0bg.cloudfront.net/images/16593703/4870385240.jpg,Bose Home Theater / Bose Soundbars,Bose Smart Speakers,Bose Soundbars / Soundbars,,,,https://usavshop.com/products/Bose-Smart-Soundbar-900-Dolby-Atmos-with-Alexa-Built-in-Bluetooth-connectivity-White-p491917745
718688407,4853,"Bose Smart Ultra Dolby Atmos Soundbar Speaker, Black, Bundle Bass Module 700, Sound Bar for Home Audio Speaker TV Wireless, Bluetooth, WiFi, Alexa, Google, Voice Control",https://d2j6dbq0eux0bg.cloudfront.net/images/16593703/4717926743.jpg,Bose Home Theater,Bose Home Theater / 5-speaker Home Theaters,Bose Soundbars / Sets,,,,https://usavshop.com/products/Bose-Smart-Ultra-Dolby-Atmos-Soundbar-Speaker-Black-Bundle-Bass-Module-700-Sound-Bar-for-Home-Audio-Speaker-TV-Wireless-Bluetooth-WiFi-Alexa-Google-Voice-Control-p718688407
753133594,5011,"Bose Smart Ultra Dolby Atmos Soundbar Speaker, Black, Bundle Bass Module 700, Sound Bar for Home Audio Speaker TV Wireless, Bluetooth, WiFi, Alexa, Google, Voice Control +  H&A HDMI Cable",https://d2j6dbq0eux0bg.cloudfront.net/images/16593703/4935974305.jpg,,,,,,,https://usavshop.com/products/Bose-Smart-Ultra-Dolby-Atmos-Soundbar-Speaker-Black-Bundle-Bass-Module-700-Sound-Bar-for-Home-Audio-Speaker-TV-Wireless-Bluetooth-WiFi-Alexa-Google-Voice-Control-H&A-HDMI-Cable-p753133594
727855088,4869,Bose Smart Ultra Soundbar,https://d2j6dbq0eux0bg.cloudfront.net/images/16593703/4779630511.webp,Bose Home Theater / Bose Soundbars,,,,,,https://usavshop.com/products/Bose-Smart-Ultra-Soundbar-p727855088
740518836,04899-N-B,"Bose Smart Ultra Soundbar, Surround Sound System for TV, Dolby Atmos Soundbar  for TV Plus Alexa and Google Voice Control, Black",https://d2j6dbq0eux0bg.cloudfront.net/images/16593703/4853481653.webp,Bose Home Theater,Bose Home Theater / Bose Soundbars,Bose Smart Speakers,Bose Soundbars / Soundbars,,,https://usavshop.com/products/Bose-Smart-Ultra-Soundbar-Surround-Sound-System-for-TV-Dolby-Atmos-Soundbar-for-TV-Plus-Alexa-and-Google-Voice-Control-Black-p740518836
740518838,04899-W,"Bose Smart Ultra Soundbar, Surround Sound System for TV, Dolby Atmos Soundbar for TV Plus Alexa and Google Voice Control, White",https://d2j6dbq0eux0bg.cloudfront.net/images/16593703/4853496484.jpg,Bose Home Theater,Bose Home Theater / Bose Soundbars,Bose Smart Speakers,Bose Soundbars / Soundbars,,,https://usavshop.com/products/Bose-Smart-Ultra-Soundbar-Surround-Sound-System-for-TV-Dolby-Atmos-Soundbar-for-TV-Plus-Alexa-and-Google-Voice-Control-White-p740518838
479480662,1396,Bose Solo 10 Series II TV Sound System,https://d2j6dbq0eux0bg.cloudfront.net/images/16593703/products/479480662/5537900408.jpg,Bose Soundbars,Bose Home Theater / Bose Soundbars,,,,,https://usavshop.com/products/Bose-Solo-10-Series-II-TV-Sound-System-p479480662
550285963,3745,Bose Solo 15 Series TV Sound System,https://d2j6dbq0eux0bg.cloudfront.net/images/16593703/3880108206.jpg,Bose Bookshelf Speakers,,,,,,https://usavshop.com/products/Bose-Solo-15-Series-TV-Sound-System-p550285963
589319160,00836-P,Bose Solo 5 TV Sound System built-in Bluetooth - FOR PARTS REPAIR,https://d2j6dbq0eux0bg.cloudfront.net/images/16593703/2340827482.jpg,Bose Soundbars,Bose Home Theater / Bose Soundbars,,,,,https://usavshop.com/products/Bose-Solo-5-TV-Sound-System-built-in-Bluetooth-FOR-PARTS-REPAIR-p589319160
365737951,836,"Bose Solo 5 TV Soundbar Sound System with Universal Remote Control, Black",https://d2j6dbq0eux0bg.cloudfront.net/images/16593703/2340827482.jpg,Bose Soundbars,Bose Home Theater / Bose Soundbars,Bose Soundbars / Soundbars,,,,https://usavshop.com/products/Bose-Solo-5-TV-Soundbar-Sound-System-with-Universal-Remote-Control-Black-p365737951
